x_axis,y_axis,은행명,은행코드,점포명,주소,주소_변환
126.9946411,37.5343061,국민,40264,이태원,서울특별시 용산구 이태원로 186 국민은행,서울 용산구 이태원로 186 (이태원동)
127.0628812,37.6001293,국민,40277,이문동,서울특별시 동대문구 이문동 258-1,서울 동대문구 이문동 258－15
126.9103486,37.5061462,국민,40280,신길동,서울특별시 영등포구 신길로 155,서울 영등포구 신길로 155 (신길동)
126.9397522,37.5047923,국민,40293,상도동,서울특별시 동작구 상도로 190 국민은행,서울 동작구 상도로 190 (상도동)
126.9157561,37.5691752,국민,40303,모래내,서울특별시 서대문구 수색로 26 국민은행,서울 서대문구 수색로 26 (남가좌동)
127.0005541,37.5844343,국민,40316,혜화동,서울특별시 종로구 창경궁로 260 명륜프라자,서울 종로구 창경궁로 260 (명륜2가)
126.9213867,37.5547018,국민,40329,서교동종합금융센터,서울특별시 마포구 양화로 134,서울특별시 마포구 양화로 134
127.0375504,37.5784674,국민,40332,제기동,서울특별시 동대문구 왕산로 127 경동대성빌딩,서울 동대문구 왕산로 127 (제기동，경동대성빌딩)
127.0491989,37.6137169,국민,40345,장위동,서울특별시 성북구 장월로 88 국민은행 장위동지점,서울 성북구 장월로 88 (장위동)
126.916836,37.5896434,국민,40358,응암오거리,서울특별시 은평구 응암로 197 국민은행,서울 은평구 응암로 197 (응암동)
127.0100734,37.608864,국민,40361,정릉동,서울특별시 성북구 보국문로 50 국민은행,서울 성북구 보국문로 50， 2층 (정릉동，청수프라자)
126.9563156,37.4849665,국민,40374,봉천동,서울특별시 관악구 관악로 234,서울 관악구 관악로 234 (봉천동)
127.0880295,37.5802817,국민,40387,사가정역,서울특별시 중랑구 면목로 315 국민은행사가정역지점,서울 중랑구 면목로 315 (면목동)
126.92877,37.4990628,국민,40390,대방동,서울특별시 동작구 국사봉1길 3 남지빌딩,서울 동작구 국사봉1길 3 (대방동)
126.9091821,37.4917189,국민,40400,대림동,서울특별시 동작구 시흥대로 676 혜석빌딩,서울 동작구 시흥대로 675(대림동，삼성YJ그랜드빌딩)
126.9302457,37.482601,국민,40413,신림본동,서울특별시 관악구 신림로 318 청암두산위브센티움,서울 관악구 신림로 318， 1층 (신림동，청암두산위브아파트)
127.0644755,37.5478119,국민,40426,화양동,서울특별시 성동구 광나루로 310 한불모터스(주),서울 성동구 광나루로 310， 1층 (성수동2가，푸조비즈타워)
126.9826776,37.4872593,국민,40439,이수역,서울특별시 서초구 동작대로 120 성산빌딩,서울 서초구 동작대로 120 (방배동)
127.0293203,37.6419428,국민,40442,강북종합금융센터,서울특별시 강북구 도봉로 391 국민은행,서울 강북구 도봉로 391 (수유동)
127.0874208,37.5592476,국민,40455,중곡동,서울특별시 광진구 용마산로 63 국민은행중곡동지점,서울 광진구 용마산로 63 (중곡동)
126.9484166,37.486557,국민,40468,관악,서울특별시 관악구 은천로 118,서울 관악구 은천로 118 (봉천동)
126.8567271,37.486641,국민,40471,개봉남,서울특별시 구로구 개봉로 10 국민빌딩,서울 구로구 개봉로 10 (개봉동)
127.0369214,37.5942835,국민,40484,종암동,서울특별시 성북구 종암로 44 국민은행 종암동지점,서울 성북구 종암로 44 (종암동)
126.89122,37.5218956,국민,40497,당산남,서울특별시 영등포구 양평동1가 9-1,서울 영등포구 양평동1가 9－3
126.9606624,37.6049214,국민,40507,세검정,서울특별시 종로구 진흥로 488 국민은행,서울 종로구 진흥로 488 (신영동)
127.0879874,37.5451802,국민,40510,구의동,서울특별시 광진구 광나루로 525 국민은행구의동지점,서울 광진구 광나루로 525 (구의동)
126.8968164,37.5816399,국민,40523,수색,서울특별시 은평구 수색로 246,서울 은평구 수색로 246 (수색동)
127.0589418,37.6087361,국민,40536,석관동,서울특별시 성북구 돌곶이로 55 국민은행 석관동지점,서울 성북구 돌곶이로 55 (석관동)
126.9352956,37.5444976,국민,40549,서강,서울특별시 마포구 토정로 222 한국출판콘텐츠센터,서울특별시 마포구 토정로 222 한국출판콘텐츠센터 1층
126.9536445,37.5483538,국민,40552,마포,서울특별시 마포구 마포대로 155 LG마포빌딩,서울 마포구 마포대로 155， 1층 (공덕동，LG마포빌딩)
126.9880494,37.501785,국민,40565,반포,서울특별시 서초구 신반포로 31 구반포상가,서울 서초구 신반포로 31 (반포동)
127.043843,37.6731183,국민,40578,도봉,서울특별시 도봉구 도봉로 769,서울 도봉구 도봉로 769 (도봉동)
127.0975607,37.5995158,국민,40581,망우동,서울특별시 중랑구 망우로 407 국민은행,서울 중랑구 망우로 407 (망우동)
127.0193356,37.515036,국민,40594,신사동종합금융센터,서울특별시 서초구 강남대로 597 진미선,서울 서초구 강남대로 597 (잠원동)
127.0130745,37.6031271,국민,40604,북악,서울특별시 성북구 아리랑로 127 국민은행,서울 성북구 아리랑로 127， 국민은행북악지점 (정릉동)
126.8976213,37.5363425,국민,40617,양평동종합금융센터,서울특별시 영등포구 선유로 265,서울 영등포구 선유로 265 (양평동4가)
127.0552449,37.4964811,국민,40620,한티역,서울특별시 강남구 도곡로 408 디마크 빌딩,서울특별시 강남구 도곡로 408， 103호(대치동 1024)
127.0769068,37.6126735,국민,40633,먹골역,서울특별시 중랑구 동일로 921 국민은행,서울 중랑구 동일로 921 (묵동)
127.106826,37.5159293,국민,40646,잠실,서울특별시 송파구 올림픽로 329 크로바아파트상가,서울 송파구 올림픽로 329， 상가 2층 (신천동，미성아파트)
127.0421472,37.6030004,국민,40659,월곡역,서울특별시 성북구 화랑로 91 국민은행 월곡동지점,서울 성북구 화랑로 91 (하월곡동)
126.9228013,37.5216429,국민,40675,여의도종합금융센터,서울특별시 영등포구 여의나루로 27 사립학교 교직원연금공단,서울 영등포구 여의나루로 27， 1층 (여의도동，사학연금회관)
126.9955138,37.5619214,국민,40688,충무로역종합금융센터,서울특별시 중구 퇴계로 213 일흥빌딩,서울 중구 퇴계로 213 (충무로4가)
126.9168185,37.5601659,국민,40691,성산동,서울특별시 마포구 월드컵북로 68 국민은행성산동지점,서울 마포구 월드컵북로 68 (성산동)
127.0334397,37.4869468,국민,40701,양재역종합금융센터,서울특별시 강남구 강남대로 262 캠코양재타워,서울 강남구 강남대로 262， 1층 (도곡동，텔슨벤처타워)
126.8518468,37.5211515,국민,40727,신정네거리역,서울특별시 양천구 신월로 280,서울 양천구 신월로 280 (신정동)
127.0747943,37.6214428,국민,40730,태릉역,서울특별시 노원구 동일로 1022 국민은행 태릉역지점,서울 노원구 동일로 1022 (공릉동)
127.0374144,37.5090816,국민,40743,논현동,서울특별시 강남구 언주로 603 서진빌딩,서울 강남구 언주로 603 (논현동)
126.9153542,37.4769544,국민,40756,신림서,서울특별시 관악구 난곡로 257,서울 관악구 난곡로 257 (신림동)
127.058908,37.5035916,국민,40769,대치북,서울특별시 강남구 삼성로 406 서림빌딩,서울 강남구 삼성로 406 (대치동)
126.9024259,37.4488271,국민,40772,시흥동,서울특별시 금천구 시흥대로 167 국민은행시흥동점,서울 금천구 시흥대로 167 (시흥동)
126.903541,37.4801106,국민,40785,조원동,서울특별시 관악구 남부순환로 1375,서울 관악구 남부순환로 1375 (신림동)
127.0178096,37.495599,국민,40798,서초동종합금융센터,서울특별시 서초구 서초중앙로24길 41 국민은행서초동지점,서울 서초구 서초중앙로24길 41 (서초동)
127.0872271,37.5082781,국민,40808,서잠실,서울특별시 송파구 석촌호수로 92 제우빌딩,서울 송파구 석촌호수로 92 (잠실동)
