index,은행코드,은행명,점포명,주소_변환,주소,x_axis,y_axis
3178,0203360,우리,서울시설공단（지）,서울시 성동구 마장동 527－6,서울특별시 성동구 마장동 527,127.0328226,37.569845
3179,0203373,우리,일산,경기 고양시 일산구 마두동 798,ERROR_CODE,ERROR_CODE,ERROR_CODE
3180,0203386,우리,이매동지점,경기도 성남시 분당구 이매동 131－4,경기도 성남시 분당구 이매동 131-1,127.1217267,37.4051338
3181,0203399,우리,분당중앙금융센터,경기 성남시 분당구 서현동 250－2,경기도 성남시 분당구 서현동 250-1,127.1236822,37.3865543
3182,0203409,우리,수신서비스센타출납실,서울 중구 회현동1가 203,서울특별시 중구 회현동1가 203,126.9815607,37.5591374
3183,0203412,우리,압구정동,서울 강남구 신사동 638－13,서울특별시 강남구 신사동 638,127.0341123,37.5288744
3184,0203425,우리,사천,경남 사천시 사천읍 수석리 283－7 외,경상남도 사천시 사천읍 수석리 283-1,128.0865291,35.080289
3185,0203438,우리,동평（지）,울산시 남구 달동 114－1,울산광역시 남구 달동 114-1,129.3223288,35.5357676
3186,0203441,우리,마포중앙（지）,서울 마포구 도화동 180－4외,서울특별시 마포구 도화동 180-2,126.9499548,37.5421757
3187,0203454,우리,여주,경기 여주군 여주읍 홍문리 72－8,ERROR_CODE,ERROR_CODE,ERROR_CODE
3188,0203470,우리,광주과학기술원（출）,광주시 북구 오룡동 1 광주과학기술원 내,광주광역시 북구 오룡동 1,126.8415137,35.2279094
3189,0203483,우리,재무기획본부,서울 중구 회현동 1가 203번지,서울특별시 중구 회현동1가 203,126.9815607,37.5591374
3190,0203496,우리,용호동,부산 남구 용호동 494－34,부산광역시 남구 용호동 494-1,129.1117283,35.1178562
3191,0203506,우리,ＣＪ금융센터,서울 중구 쌍림동 146－17,서울특별시 중구 쌍림동 146-1,127.0035889,37.5644718
3192,0203519,우리,호계동（지）,경기 안양시 동안구 호계동 555－9,경기도 안양시 동안구 호계동 555-2,126.9476593,37.3736183
3193,0203522,우리,금남로,광주 동구 금남로2가 27,광주광역시 동구 금남로2가 27,126.9167471,35.1489248
3194,0203535,우리,반야월（지）,대구광역시 동구 금강로 3,대구광역시 동구 금강로 3,128.7244235,35.8674608
3195,0203548,우리,동서학원（출）,부산시 사상구 주례동 산69－1,부산광역시 사상구 주례동 산69-1,129.0105118,35.1416766
3196,0203551,우리,강북영업본부,서울시 중구 흥인동 29(성동지점 3층),서울특별시 중구 흥인동 29,127.017534,37.5657613
3197,0203564,우리,한국항공우주（출）,경남 사천시 사남면 유천리 321외,ERROR_CODE,ERROR_CODE,ERROR_CODE
3198,0203577,우리,거제（지）,경남 거제시 신현읍 고현리 977,ERROR_CODE,ERROR_CODE,ERROR_CODE
3199,0203580,우리,용산영업본부,서울 용산구 갈월동 2－5 갑을빌딩 동자동지점 2층,서울특별시 용산구 갈월동 2-2,126.9722265,37.5494771
